# GREAT version 3.0.0	Species assembly: hg19	Association rule: Single nearest gene: 100000 bp max extension, curated regulatory domains included
NA_peak_21486	PDE5A (-68969)
NA_peak_20102	RAB28 (-21843)
NA_peak_15742	SLC39A10 (+67520)
NA_peak_10004	NONE
NA_peak_9345	NONE
NA_peak_8960	DLGAP5 (-83344)
NA_peak_8725	NONE
NA_peak_8641	NONE
NA_peak_2549	ZNF672 (-37746)
NA_peak_2384	PCNXL2 (+34347)
NA_peak_1944	NONE
NA_peak_4855	NONE
NA_peak_3386	LRRTM3 (-82941)
NA_peak_25144	SLC17A4 (-6041)
NA_peak_26816	STXBP5 (+352)
NA_peak_11452	NONE
NA_peak_7295	HSPH1 (+70603)
NA_peak_21141	NONE
NA_peak_13276	TSHZ3 (+10608)
NA_peak_32009	NONE
NA_peak_25655	KCNQ5 (-70007)
NA_peak_12194	NONE
NA_peak_9810	NONE
NA_peak_9269	NONE
NA_peak_7361	NONE
NA_peak_22407	NONE
NA_peak_1307	NOTCH2 (+37127)
NA_peak_11967	NONE
NA_peak_18224	ADAMTS9 (+74525)
NA_peak_19118	RBP1 (-8951)
NA_peak_11698	NONE
NA_peak_26759	NONE
NA_peak_22858	SPEF2 (+38213)
NA_peak_17092	NONE
NA_peak_31657	HDHD3 (-11655)
NA_peak_13202	EVI5L (+7056)
NA_peak_971	F3 (-49119)
NA_peak_12178	NONE
NA_peak_11341	SLC47A1 (-4073)
NA_peak_8559	LRRC16B (-15104)
NA_peak_1422	THEM5 (-19616)
NA_peak_30713	NONE
NA_peak_1062	NONE
NA_peak_10397	NONE
NA_peak_25852	SPACA1 (+1119)
NA_peak_25260	MDGA1 (+5373)
NA_peak_27438	NONE
NA_peak_4084	NONE
NA_peak_29102	INTS10 (+55072)
NA_peak_28239	BHLHA15 (+6284)
NA_peak_405	NONE
NA_peak_11138	ABR (-31539)
NA_peak_2927	SVIL (+66744)
NA_peak_32520	NONE
NA_peak_33227	NONE
NA_peak_30527	SMARCA2 (+14044)
NA_peak_30738	NONE
NA_peak_29825	NONE
NA_peak_29616	NONE
NA_peak_28968	NONE
NA_peak_29424	NONE
NA_peak_30225	NONE
NA_peak_28179	CALCR (+75205)
NA_peak_23673	NONE
NA_peak_22070	NONE
NA_peak_13888	NONE
NA_peak_13773	NONE
NA_peak_15526	ITGA4 (+28490)
NA_peak_15467	TTC30A (-31230)
NA_peak_15341	NONE
NA_peak_890	NONE
NA_peak_10675	C16orf87 (+7433)
NA_peak_8762	NONE
NA_peak_8357	NONE
NA_peak_28895	RBM33 (+32279), SHH (+135315)
NA_peak_6256	SRGAP1 (-8497)
NA_peak_33167	NONE
NA_peak_8864	NONE
NA_peak_30872	NONE
NA_peak_29693	NONE
NA_peak_21199	EIF4E (+14)
NA_peak_16061	ASIC4 (-1201)
NA_peak_9461	NONE
NA_peak_8692	SRP54 (-22472)
NA_peak_6260	SRGAP1 (+71382)
NA_peak_1546	MGST3 (-17)
NA_peak_13166	TCF3 (-23345)
NA_peak_5058	TAF1D (-2929)
NA_peak_11135	NXN (+28238)
NA_peak_14452	NONE
NA_peak_33061	AMOT (-4384)
NA_peak_3757	HPS1 (-3466)
NA_peak_6167	ATP5B (+493)
NA_peak_499	NONE
NA_peak_7315	NONE
NA_peak_7081	NONE
NA_peak_7082	NCOR2 (-69938)
NA_peak_32115	PPEF1 (+57644)
NA_peak_33420	SLITRK4 (-1159)
NA_peak_19277	NONE
NA_peak_16031	NONE
NA_peak_8929	FRMD6 (-34812)
NA_peak_7160	NONE
NA_peak_14135	MEIS1 (-204)
NA_peak_17131	NONE
NA_peak_11077	BCMO1 (+456)
NA_peak_10969	ZFHX3 (+20567)
NA_peak_9909	NONE
NA_peak_9919	NONE
NA_peak_16340	NONE
NA_peak_24355	DPYSL3 (+56123)
NA_peak_6947	NONE
NA_peak_33049	DCX (+540)
NA_peak_11319	RAI1 (+59283)
NA_peak_11577	DUSP3 (+6918)
NA_peak_19944	FGF12 (-40229)
NA_peak_9936	CCPG1 (+647)
NA_peak_11049	NONE
NA_peak_7314	NONE
NA_peak_8394	NONE
NA_peak_20393	SMIM14 (+1883)
NA_peak_33030	NONE
NA_peak_30940	NONE
NA_peak_25076	NONE
NA_peak_26895	NONE
NA_peak_26834	NONE
NA_peak_26299	ROS1 (+45364)
NA_peak_23404	NONE
NA_peak_22674	NONE
NA_peak_20758	GRSF1 (-19324)
NA_peak_20282	NONE
NA_peak_21812	NONE
NA_peak_18579	NONE
NA_peak_17016	NONE
NA_peak_16975	NONE
NA_peak_16539	INSM1 (-21250)
NA_peak_989	RWDD3 (+23747)
NA_peak_12598	NONE
NA_peak_12529	NONE
NA_peak_7171	NONE
NA_peak_6792	USP44 (+3327)
NA_peak_6655	NONE
NA_peak_6344	MYRFL (+45877)
NA_peak_5799	PDE3A (+54058)
NA_peak_3159	DKK1 (+42911)
NA_peak_25736	NONE
NA_peak_20815	PF4 (+41448)
NA_peak_2806	NONE
NA_peak_16619	NINL (+735)
NA_peak_11019	NONE
NA_peak_4200	MRVI1 (+23907)
NA_peak_13686	ASXL2 (+17313)
NA_peak_4710	WDR74 (+149)
NA_peak_18029	ZNF445 (+37961)
NA_peak_11037	NONE
NA_peak_17445	TNRC6B (-81158)
NA_peak_9901	NONE
NA_peak_27421	NONE
NA_peak_17233	CECR1 (+20564)
NA_peak_4834	NONE
NA_peak_27790	NONE
NA_peak_8503	NONE
NA_peak_32827	NONE
NA_peak_107	NONE
NA_peak_1310	NOTCH2 (+10087)
NA_peak_11401	NONE
NA_peak_11363	DHRS7B (-27457)
NA_peak_13497	MBOAT2 (-28980)
NA_peak_11318	RAI1 (-11891)
NA_peak_13413	MZF1 (-185)
NA_peak_12941	NONE
NA_peak_10446	CACNA1H (-18173)
NA_peak_4944	TMEM126A (-430)
NA_peak_1393	NONE
NA_peak_18016	GTDC2 (-69465)
NA_peak_15333	NOSTRIN (+17334)
NA_peak_9911	NONE
NA_peak_27831	NONE
NA_peak_33074	NONE
NA_peak_15379	NONE
NA_peak_437	NONE
NA_peak_6827	NONE
NA_peak_32291	NONE
NA_peak_33245	NONE
NA_peak_33010	NXT2 (-26023)
NA_peak_31750	NONE
NA_peak_30000	FSBP (+1487)
NA_peak_29829	NONE
NA_peak_28275	SLC26A5 (-78400)
NA_peak_25990	NONE
NA_peak_25062	PRL (+48966)
NA_peak_26924	CLDN20 (+6990)
NA_peak_23668	FAM174A (+28280)
NA_peak_23086	NONE
NA_peak_22954	NONE
NA_peak_24638	TENM2 (+91018)
NA_peak_24160	NONE
NA_peak_24055	ZNF608 (-72577)
NA_peak_23978	NONE
NA_peak_21221	NONE
NA_peak_18454	NONE
NA_peak_16978	NONE
NA_peak_12189	NONE
NA_peak_11032	ADAMTS18 (-28030)
NA_peak_10238	MEX3B (+50999)
NA_peak_8643	AP4S1 (-67517)
NA_peak_6282	NONE
NA_peak_6247	AVPR1A (+47286)
NA_peak_6046	NONE
NA_peak_5731	NONE
NA_peak_1523	NONE
NA_peak_1224	PHTF1 (+240)
NA_peak_1103	NONE
NA_peak_3314	ARID5B (+72352)
NA_peak_3975	PNLIP (-24418)
NA_peak_891	NONE
NA_peak_29026	NONE
NA_peak_9079	SGPP1 (+1298)
NA_peak_11245	MYOCD (+21875)
NA_peak_27544	EEPD1 (-36443)
NA_peak_13447	SOX11 (+30591)
NA_peak_13836	SLC8A1 (-27960)
NA_peak_8501	NONE
NA_peak_32948	NONE
NA_peak_31284	TLE4 (+85173)
NA_peak_16758	NONE
NA_peak_4058	NKX1-2 (+1448)
NA_peak_10982	NONE
NA_peak_24498	PTTG1 (+63776)
NA_peak_16779	NONE
NA_peak_11932	NOL11 (-78650)
NA_peak_3067	RET (-50171)
NA_peak_13181	DOHH (-5133)
NA_peak_33257	SMARCA1 (-1775)
NA_peak_29313	NONE
NA_peak_26849	ULBP1 (+27266)
NA_peak_10802	USB1 (+6917)
NA_peak_13236	ISYNA1 (-12867)
NA_peak_18011	ACKR2 (+2528)
NA_peak_12107	TMEM105 (-3695)
NA_peak_23065	GPBP1 (+5418)
NA_peak_12103	BAIAP2 (+35930)
NA_peak_28724	NONE
NA_peak_28475	CAPZA2 (+44816)
NA_peak_20731	UGT2B11 (-26256)
NA_peak_15365	MYO3B (+20376)
NA_peak_32549	GAGE1 (+44494)
NA_peak_8779	LRFN5 (+14463)
NA_peak_6699	ATP2B1 (+1346)
NA_peak_32323	NONE
NA_peak_32184	KLHL15 (+39524)
NA_peak_33228	NONE
NA_peak_33086	NONE
NA_peak_28031	SEMA3D (+45783)
NA_peak_25636	NONE
NA_peak_26114	NONE
NA_peak_23552	POU5F2 (+67109)
NA_peak_20153	NONE
NA_peak_21495	MAD2L1 (+2039)
NA_peak_21440	NONE
NA_peak_18590	POU1F1 (-21839)
NA_peak_18767	NONE
NA_peak_15080	NONE
NA_peak_961	GCLM (+3460)
NA_peak_617	NONE
NA_peak_2249	DISP1 (+84805)
NA_peak_2189	NONE
NA_peak_1858	NONE
NA_peak_70	PEX14 (+62687)
NA_peak_23539	NONE
NA_peak_13799	NONE
NA_peak_27844	RFC2 (+5213)
NA_peak_11558	STAT5B (-464)
NA_peak_16424	NONE
NA_peak_20853	SEPT11 (-91159)
NA_peak_16834	PMEPA1 (-43531)
NA_peak_27440	HOXA1 (+64990)
NA_peak_6770	CRADD (-461)
NA_peak_6321	MDM2 (-18936)
NA_peak_2049	NONE
NA_peak_28889	INSIG1 (-75680)
NA_peak_16865	TAF4 (-839)
NA_peak_5776	NONE
NA_peak_31161	MAMDC2 (+75005)
NA_peak_13658	NONE
NA_peak_16245	NONE
NA_peak_1262	CD2 (+23668)
NA_peak_10746	NONE
NA_peak_29265	DUSP26 (-81492)
NA_peak_13272	ZNF536 (+74652)
NA_peak_10498	NONE
NA_peak_8690	CFL2 (+22540)
NA_peak_25406	NONE
NA_peak_23221	GTF2H2 (-15774)
NA_peak_11196	KDM6B (+2515)
NA_peak_9156	SLC10A1 (-21841)
NA_peak_27566	NONE
NA_peak_12099	NONE
NA_peak_26146	NONE
NA_peak_14113	SERTAD2 (-78382)
NA_peak_31453	WNK2 (+84284)
NA_peak_27083	PDGFA (+32503)
NA_peak_23195	GTF2H2C (-15735)
NA_peak_16954	NONE
NA_peak_9802	NONE
NA_peak_31599	KLF4 (+16882)
NA_peak_11842	NONE
NA_peak_467	NFIA (-4614)
NA_peak_4208	NONE
NA_peak_32542	KCND1 (-572)
NA_peak_32415	NONE
NA_peak_4466	KIAA1549L (-64067)
NA_peak_2143	NONE
NA_peak_32286	NONE
NA_peak_31991	NONE
NA_peak_28441	NONE
NA_peak_25670	NONE
NA_peak_25441	MLIP (+2750)
NA_peak_26982	MAP3K4 (+65500)
NA_peak_26837	UST (+50148)
NA_peak_26284	RFX6 (+608)
NA_peak_23600	CAST (+49533)
NA_peak_21228	PPP3CA (-22521)
NA_peak_19495	NONE
NA_peak_18941	NONE
NA_peak_16966	NONE
NA_peak_14579	NONE
NA_peak_12145	NONE
NA_peak_359	TTC39A (-76998)
NA_peak_8922	TRIM9 (+11519)
NA_peak_2139	ESRRG (-26656)
NA_peak_5107	NONE
NA_peak_1897	NONE
NA_peak_2657	NONE
NA_peak_2836	PIP4K2A (-70358)
NA_peak_6104	PRPH (+14514)
NA_peak_24211	H2AFY (+94967)
NA_peak_11495	DDX52 (-33320)
NA_peak_30326	ATAD2 (+607)
NA_peak_1651	TNN (+84292)
NA_peak_18143	NONE
NA_peak_1316	NONE
NA_peak_27442	HOXA1 (+4630)
NA_peak_5737	RERGL (-58998)
NA_peak_2410	NONE
NA_peak_18985	SEC22A (-50655)
NA_peak_10807	CCDC113 (-5919)
NA_peak_3512	NONE
NA_peak_11896	RGS9 (+89015)
NA_peak_11418	NF1 (+16260)
NA_peak_17258	SLC7A4 (-61585)
NA_peak_19844	CRYGS (+78446)
NA_peak_14797	CXCR4 (-12874)
NA_peak_4115	EBF3 (+1115)
NA_peak_14068	BCL11A (+22609)
NA_peak_23152	ERBB2IP (-86257)
NA_peak_26580	NONE
NA_peak_11044	NONE
NA_peak_27456	NONE
NA_peak_24764	SQSTM1 (+4084)
NA_peak_7178	TNFRSF19 (-45024)
NA_peak_4071	NONE
NA_peak_1441	JTB (+247)
NA_peak_25633	B3GAT2 (-56278)
NA_peak_19968	HES1 (+30145)
NA_peak_19586	SLC2A2 (-143)
NA_peak_14701	MAP3K2 (+18284)
NA_peak_441	FGGY (-1825)
NA_peak_5563	ERC1 (+63016)
NA_peak_1259	ATP1A1 (+92060)
NA_peak_4274	SOX6 (+19665)
NA_peak_119	FBLIM1 (+37910)
NA_peak_11307	TRPV2 (-14598)
NA_peak_25271	NONE
NA_peak_33301	USP26 (+19874)
NA_peak_33358	NONE
NA_peak_31788	NR6A1 (+2105)
NA_peak_29219	RBPMS (+93119)
NA_peak_27996	NONE
NA_peak_27907	MAGI2 (+70270)
NA_peak_28343	NONE
NA_peak_25683	NONE
NA_peak_26523	ARG1 (-16043)
NA_peak_23440	RASA1 (+62136)
NA_peak_18476	NONE
NA_peak_19393	VEPH1 (-19383)
NA_peak_19194	NONE
NA_peak_18841	NONE
NA_peak_18791	BBX (+2970)
NA_peak_16134	NONE
NA_peak_16863	NONE
NA_peak_12923	PMAIP1 (+787)
NA_peak_9036	MNAT1 (+80896)
NA_peak_7518	SERP2 (+4710)
NA_peak_5744	NONE
NA_peak_1781	NONE
NA_peak_4643	OR5T3 (+2642)
NA_peak_5155	NONE
NA_peak_3748	ARHGAP19-SLIT1 (+13878)
NA_peak_22186	NONE
NA_peak_29738	ZFHX4 (+2700)
NA_peak_22689	NONE
NA_peak_21192	TSPAN5 (+42868)
NA_peak_17608	SSUH2 (-10871)
NA_peak_18158	NONE
NA_peak_14172	NONE
NA_peak_13162	SHC2 (-976)
NA_peak_11297	ZNF286A (-164)
NA_peak_10369	NONE
NA_peak_29494	FAM110B (+42215)
NA_peak_15498	NONE
NA_peak_17331	NONE
NA_peak_29792	TPD52 (-83566)
NA_peak_24251	PSD2 (-49177)
NA_peak_4759	ORAOV1 (-14523)
NA_peak_11690	UTP18 (+85924)
NA_peak_28978	ENSG00000182319 (-75028)
NA_peak_11224	PIRT (-98829)
NA_peak_5557	SLC6A12 (+4020)
NA_peak_2024	RASSF5 (+49202)
NA_peak_12063	PRCD (+9028)
NA_peak_31151	TJP2 (-18833)
NA_peak_30464	NONE
NA_peak_26951	NONE
NA_peak_32623	NONE
NA_peak_32070	GRPR (-55363)
NA_peak_19596	NONE
NA_peak_11121	ZFPM1 (+51738)
NA_peak_25253	PIM1 (-493)
NA_peak_27565	NONE
NA_peak_24908	NONE
NA_peak_17321	ASPHD2 (-86291)
NA_peak_15179	DAPL1 (-93945)
NA_peak_496	NONE
NA_peak_172	SRSF10 (-29257)
NA_peak_27443	HOXA1 (+4236)
NA_peak_20725	UGT2B7 (-90)
NA_peak_9894	NONE
NA_peak_17399	ISX (-24548)
NA_peak_6084	SLC38A2 (+820)
NA_peak_18818	RETNLB (+28462)
NA_peak_307	RNF220 (+95291)
NA_peak_30296	DEPTOR (+38730)
NA_peak_30271	NONE
NA_peak_12427	NONE
NA_peak_20120	NONE
NA_peak_29314	NONE
NA_peak_9746	DLL4 (-3653)
NA_peak_10195	TSPAN3 (-31213)
NA_peak_25474	HMGCLL1 (+433)
NA_peak_10091	NONE
NA_peak_9275	NONE
NA_peak_31949	VCX (-82267)
NA_peak_33275	OR13H1 (+69995)
NA_peak_30895	NONE
NA_peak_30769	SH3GL2 (-73185)
NA_peak_29869	NONE
NA_peak_27122	MIOS (+19350)
NA_peak_27507	NONE
NA_peak_28823	NONE
NA_peak_28444	NONE
NA_peak_23391	VCAN (+78309)
NA_peak_22739	NONE
NA_peak_20736	UGT2B4 (-49155)
NA_peak_20429	NONE
NA_peak_21895	MAB21L2 (+14358)
NA_peak_17691	KCNH8 (+41649)
NA_peak_19334	NONE
NA_peak_16012	VWC2L (-9797)
NA_peak_15267	COBLL1 (+98024)
NA_peak_14734	RAB6C (-58961)
NA_peak_16986	NONE
NA_peak_16362	NONE
NA_peak_16678	NONE
NA_peak_627	NONE
NA_peak_11070	CDYL2 (-42101)
NA_peak_10133	UACA (+63639)
NA_peak_9446	PAPOLA (+1643)
NA_peak_8848	NONE
NA_peak_6671	NONE
NA_peak_6263	NONE
NA_peak_5859	NONE
NA_peak_2111	NONE
NA_peak_1235	TRIM33 (-29258)
NA_peak_1220	NONE
NA_peak_24947	NONE
NA_peak_24004	PPIC (+29290)
NA_peak_23234	MAP1B (+65412)
NA_peak_2907	BAMBI (-8207)
NA_peak_19112	COPB2 (-583)
NA_peak_5779	NONE
NA_peak_23022	NONE
NA_peak_9060	NONE
NA_peak_8661	NONE
NA_peak_32144	NONE
NA_peak_29373	NKX6-3 (+16613)
NA_peak_30545	RFX3 (-33179)
NA_peak_4826	GAB2 (-409)
NA_peak_25653	NONE
NA_peak_30513	KANK1 (+64348)
NA_peak_4824	NDUFC2 (-6545)
NA_peak_20054	PSAPL1 (-94755)
NA_peak_25340	TNFRSF21 (+71803)
NA_peak_20402	NSUN7 (-26707)
NA_peak_21525	ADAD1 (+5397)
NA_peak_17898	GPD1L (-60985)
NA_peak_19993	TNK2 (-34026)
NA_peak_16393	NONE
NA_peak_6273	NONE
NA_peak_5019	NONE
NA_peak_28414	TMEM168 (+98104)
NA_peak_19917	NONE
NA_peak_11210	NONE
NA_peak_12123	METRNL (+77329)
NA_peak_29312	NONE
NA_peak_15873	NONE
NA_peak_10361	NONE
NA_peak_12888	ONECUT2 (+9042)
NA_peak_17135	SETD4 (+85353)
NA_peak_11840	NONE
NA_peak_6072	ARID2 (+1414)
NA_peak_3726	NONE
NA_peak_2971	NRP1 (+76866)
NA_peak_2332	NONE
NA_peak_16588	CD93 (+13205)
NA_peak_30624	NONE
NA_peak_28553	NONE
NA_peak_13724	CAPN13 (+90974)
NA_peak_9949	NONE
NA_peak_32725	CYLC1 (+75041)
NA_peak_33514	CD99L2 (+66699)
NA_peak_30943	NONE
NA_peak_30523	NONE
NA_peak_30213	NONE
NA_peak_28158	NONE
NA_peak_24855	SLC35B3 (-64530)
NA_peak_24089	NONE
NA_peak_20744	ODAM (-13475)
NA_peak_20151	NONE
NA_peak_22138	NONE
NA_peak_18141	NONE
NA_peak_19923	GMNC (+34014)
NA_peak_19509	SERPINI1 (+93006)
NA_peak_14073	PAPOLG (+23406)
NA_peak_15131	NONE
NA_peak_13049	TMX3 (-64444)
NA_peak_9612	NONE
NA_peak_8273	NONE
NA_peak_8350	NONE
NA_peak_6412	NONE
NA_peak_4550	NONE
NA_peak_3532	MAT1A (-55458)
NA_peak_2849	NONE
NA_peak_9432	SERPINA5 (-8453)
NA_peak_15850	NONE
NA_peak_29910	NONE
NA_peak_1459	ETV3L (-15570)
NA_peak_29011	GATA4 (-75428)
NA_peak_8556	ZFHX2 (-77)
NA_peak_10933	CYB5B (+56309)
NA_peak_17534	NONE
NA_peak_17334	NONE
NA_peak_27052	FRMD1 (-78483)
NA_peak_10967	ZFHX3 (+62494)
NA_peak_9511	TMEM121 (+26175)
NA_peak_25047	NONE
NA_peak_91	NONE
NA_peak_25869	PNRC1 (+2291)
NA_peak_24391	CAMK2A (+22634)
NA_peak_19874	NONE
NA_peak_14507	NCK2 (-98286)
NA_peak_12202	NONE
NA_peak_32951	TEX13A (-25779)
NA_peak_31798	NONE
NA_peak_30478	AGO2 (-88200)
NA_peak_30404	NONE
NA_peak_28636	NRF1 (-68799)
NA_peak_14176	NONE
NA_peak_2342	GALNT2 (-651)
NA_peak_3464	DUPD1 (-16333)
NA_peak_25666	EEF1A1 (-52994)
NA_peak_17202	PDE9A (+80615)
NA_peak_31825	PTGES (+40128)
NA_peak_24229	NONE
NA_peak_21039	PKD2 (+25932)
NA_peak_20482	COMMD8 (-7689)
NA_peak_4772	KRTAP5-8 (-2511)
NA_peak_10774	NONE
NA_peak_30966	UNC13B (+75356)
NA_peak_29218	RBPMS (+92284)
NA_peak_27820	NONE
NA_peak_19001	NONE
NA_peak_31618	FAM206A (+375)
NA_peak_30409	ADCY8 (+61752)
NA_peak_17593	NONE
NA_peak_5483	KIRREL3 (+35985)
NA_peak_11614	NPEPPS (+31819)
NA_peak_32281	NONE
NA_peak_30720	NFIB (+71135)
NA_peak_29950	NONE
NA_peak_29863	NONE
NA_peak_28168	CDK6 (+81562)
NA_peak_28113	NONE
NA_peak_27866	FGL2 (-47582)
NA_peak_27468	CREB5 (+23683)
NA_peak_28551	FEZF1 (-98714)
NA_peak_26318	MCM9 (+908)
NA_peak_26166	LACE1 (+6923)
NA_peak_23517	NONE
NA_peak_23494	NONE
NA_peak_22733	NONE
NA_peak_24718	NONE
NA_peak_24082	NONE
NA_peak_23736	NONE
NA_peak_21095	GRID2 (+27012)
NA_peak_21084	NONE
NA_peak_21744	NONE
NA_peak_21379	C4orf32 (-85027)
NA_peak_21277	NONE
NA_peak_15513	NONE
NA_peak_15410	NONE
NA_peak_15117	NONE
NA_peak_14916	NONE
NA_peak_13519	E2F6 (-33386)
NA_peak_10036	C2CD4A (+21316)
NA_peak_8793	NONE
NA_peak_7744	DIAPH3 (+70165)
NA_peak_7230	USP12 (+36690)
NA_peak_2197	NONE
NA_peak_1969	ZNF281 (-51400)
NA_peak_5047	MTNR1B (+64545)
NA_peak_1244	VANGL1 (+51650)
NA_peak_5358	NXPE2 (+58653)
NA_peak_33454	NONE
NA_peak_10390	NONE
NA_peak_8923	TMX1 (+80174)
NA_peak_10539	NONE
NA_peak_12045	SLC25A19 (-16747)
NA_peak_16747	ZMYND8 (+6749)
NA_peak_11145	RPA1 (+26945)
NA_peak_17191	TMPRSS2 (+6993)
NA_peak_13313	SYCN (-5317)
NA_peak_9399	CALM1 (-14920)
NA_peak_12342	CTAGE1 (+69943)
NA_peak_9998	GCNT3 (-57340)
NA_peak_407	PPAP2B (+12355)
NA_peak_27717	NONE
NA_peak_13104	CYB5A (+66645)
NA_peak_6141	EIF4B (+5966)
NA_peak_9214	NONE
NA_peak_30374	NONE
NA_peak_31979	TBL1X (-1856)
NA_peak_14950	NONE
NA_peak_10141	NONE
NA_peak_10080	NONE
NA_peak_1117	NONE
NA_peak_2982	NONE
NA_peak_32481	NONE
NA_peak_33508	MTM1 (-64305)
NA_peak_33137	NKAP (-41100)
NA_peak_31737	NONE
NA_peak_4600	CREB3L1 (-25211)
NA_peak_30059	PABPC1 (-33416)
NA_peak_33259	ELF4 (+38703)
NA_peak_23480	CETN3 (+56678)
NA_peak_17281	IGLL5 (-98166)
NA_peak_16657	ITCH (+61853)
NA_peak_10064	OAZ2 (+55250)
NA_peak_9655	NONE
NA_peak_11770	NONE
NA_peak_13498	ASAP2 (-28421)
NA_peak_5292	ZC3H12C (+91917)
NA_peak_5166	BIRC3 (-45032)
NA_peak_18438	NONE
NA_peak_32457	USP9X (+10797)
NA_peak_31861	C9orf69 (-41969)
NA_peak_2710	NONE
NA_peak_11625	PNPO (+7957)
NA_peak_11103	KIAA0513 (+96710)
NA_peak_32807	NONE
NA_peak_33113	NONE
NA_peak_30982	NONE
NA_peak_30544	RFX3 (+1920)
NA_peak_27891	NONE
NA_peak_26880	NONE
NA_peak_23747	NONE
NA_peak_20233	TBC1D19 (-21592)
NA_peak_22334	NONE
NA_peak_21357	NONE
NA_peak_21266	NONE
NA_peak_17677	NONE
NA_peak_19250	HPS3 (-6239)
NA_peak_14035	NONE
NA_peak_15624	NONE
NA_peak_14996	NONE
NA_peak_14802	NONE
NA_peak_14618	NONE
NA_peak_10363	NONE
NA_peak_8227	NONE
NA_peak_7693	NONE
NA_peak_8343	NONE
NA_peak_6225	NONE
NA_peak_1519	NONE
NA_peak_3654	LIPF (+23692)
NA_peak_3268	PHYHIPL (-65206)
NA_peak_2583	NONE
NA_peak_25513	NONE
NA_peak_26159	NONE
NA_peak_20125	QDPR (+21531)
NA_peak_6013	PRICKLE1 (+1529)
NA_peak_4656	SLC43A1 (+17819)
NA_peak_2642	NONE
NA_peak_32051	ASB9 (+31298)
NA_peak_5477	NONE
NA_peak_29070	PCM1 (-667)
NA_peak_23246	FCHO2 (-15841)
NA_peak_9761	CAPN3 (-20147)
NA_peak_9111	NONE
NA_peak_2020	FAM72A (-31347)
NA_peak_11793	SUPT4H1 (-32194)
NA_peak_12039	CD300A (+866)
NA_peak_2746	PTPLA (+45815)
NA_peak_7587	KPNA3 (-17987)
NA_peak_20018	CRIPAK (-21882)
NA_peak_17981	SLC25A38 (-4149)
NA_peak_12109	ENSG00000171282 (-3877)
NA_peak_692	NONE
NA_peak_10068	PARP16 (-17583)
NA_peak_5951	METTL20 (+55840)
NA_peak_16282	FKBP1A (+8905)
NA_peak_29370	AGPAT6 (+26163)
NA_peak_16326	NONE
NA_peak_2330	NONE
NA_peak_4699	SYT7 (-9157)
NA_peak_1210	LRIG2 (-499)
NA_peak_21296	INTS12 (-3186)
NA_peak_485	NONE
NA_peak_11895	RGS9 (-31310)
NA_peak_12076	TNRC6C (-88462)
NA_peak_438	FGGY (-96919)
NA_peak_12954	ZCCHC2 (-82090)
NA_peak_22668	NONE
NA_peak_2738	CUBN (+65631)
NA_peak_27475	NONE
NA_peak_4067	CTBP2 (-76957)
NA_peak_20949	NONE
NA_peak_19350	DHX36 (+72650)
NA_peak_23371	ATP6AP1L (+65862)
NA_peak_19930	UTS2B (-105)
NA_peak_17704	NONE
NA_peak_10315	FURIN (+5682)
NA_peak_27106	SLC29A4 (-42082)
NA_peak_27050	KIF25 (+25254)
NA_peak_32192	ZFX (+40014)
NA_peak_32140	RPS6KA3 (-4475)
NA_peak_32064	AP1S2 (+6351)
NA_peak_32047	GLRA2 (-62953)
NA_peak_30181	NONE
NA_peak_28743	AKR1D1 (+61145)
NA_peak_28710	NONE
NA_peak_28610	NONE
NA_peak_28468	MET (+14878)
NA_peak_25530	KHDRBS2 (-38614)
NA_peak_26902	NONE
NA_peak_26722	HIVEP2 (+1639)
NA_peak_24278	NR3C1 (+86297)
NA_peak_20340	ARAP2 (+1293)
NA_peak_22434	NONE
NA_peak_22318	NONE
NA_peak_19215	PLSCR1 (-92890)
NA_peak_19150	NONE
NA_peak_19045	NONE
NA_peak_14829	NONE
NA_peak_14588	DPP10 (+6921)
NA_peak_12226	NONE
NA_peak_12642	NONE
NA_peak_755	ELTD1 (+38131)
NA_peak_9690	MEIS2 (+18486)
NA_peak_355	RNF11 (+24401)
NA_peak_9498	CDC42BPB (+26054)
NA_peak_7501	NONE
NA_peak_7488	NONE
NA_peak_8370	NONE
NA_peak_6711	NONE
NA_peak_191	PDIK1L (+22803)
NA_peak_5150	TMEM133 (+24641)
NA_peak_3326	NONE
NA_peak_3141	NONE
NA_peak_2886	APBB1IP (+45077)
NA_peak_2740	CUBN (-21604)
NA_peak_9136	NONE
NA_peak_17343	MN1 (+6520)
NA_peak_32984	FRMPD3 (+19812)
NA_peak_24406	NONE
NA_peak_2000	ATP2B4 (-34285)
NA_peak_17836	NONE
NA_peak_15074	STAM2 (+4026)
NA_peak_24040	NONE
NA_peak_9222	ZDHHC22 (+1306)
NA_peak_27502	NONE
NA_peak_4030	NONE
NA_peak_33335	FAM127A (+66821)
NA_peak_31349	RMI1 (+11857)
NA_peak_27279	AHR (+82295)
NA_peak_25533	NONE
NA_peak_21226	PPP3CA (+61672)
NA_peak_14244	RAB11FIP5 (-6345)
NA_peak_52	RERE (+75275)
NA_peak_5736	RERGL (-18644)
NA_peak_29213	DCTN6 (+98842)
NA_peak_24706	NONE
NA_peak_14441	MGAT4A (-72942)
NA_peak_598	RPE65 (+18749)
NA_peak_8465	NONE
NA_peak_12044	NUP85 (-525)
NA_peak_9141	NONE
NA_peak_33354	RBMX (+14832)
NA_peak_11767	NONE
