# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_13160	OR4F17 (+56472), PPAP2C (+127227)
NA_peak_13161	THEG (-34246), SHC2 (+50737)
NA_peak_13162	SHC2 (-976)
NA_peak_13163	TPGS1 (-2)
NA_peak_13164	PTBP1 (-14295), MISP (+31654)
NA_peak_13165	GPX4 (+9635), SBNO2 (+60711)
NA_peak_13166	ONECUT3 (-76423), TCF3 (-23345)
NA_peak_13167	ONECUT3 (-71108), TCF3 (-28660)
NA_peak_13168	TCF3 (-66400), ONECUT3 (-33368)
NA_peak_13169	ONECUT3 (+3056), ATP8B3 (+56847)
NA_peak_13170	ONECUT3 (+3601), ATP8B3 (+56302)
NA_peak_13171	ONECUT3 (+6461), ATP8B3 (+53442)
NA_peak_13172	BTBD2 (+11556), CSNK1G2 (+62975)
NA_peak_13173	GADD45B (+31163), GNG7 (+195419)
NA_peak_13174	GADD45B (+64768), GNG7 (+161814)
NA_peak_13175	GNG7 (+63362), GADD45B (+163220)
NA_peak_13176	SGTA (-1776), THOP1 (-313)
NA_peak_13177	TLE6 (-24039), ZNF77 (-8474)
NA_peak_13178	TLE6 (+3)
NA_peak_13179	TLE2 (+15767), TLE6 (+35954)
NA_peak_13180	TLE2 (-7253), AES (+26687)
NA_peak_13181	FZR1 (-16917), DOHH (-5133)
NA_peak_13182	HMG20B (-1505)
NA_peak_13183	NMRK2 (+14832), DAPK3 (+23135)
NA_peak_13184	EEF2 (+464)
NA_peak_13185	EBI3 (+17600), TMIGD2 (+55333)
NA_peak_13186	STAP2 (-4125), MPND (-581)
NA_peak_13187	C19orf10 (-35135), DPP9 (+18358)
NA_peak_13188	PTPRS (+4690), KDM4B (+366992)
NA_peak_13189	ZNRF4 (-102746), PTPRS (-11866)
NA_peak_13190	PTPRS (-84515), ZNRF4 (-30097)
NA_peak_13191	ZNRF4 (+8779), SAFB2 (+158786)
NA_peak_13192	ZNRF4 (+29189), SAFB2 (+138376)
NA_peak_13193	SAFB2 (-335), SAFB (+162)
NA_peak_13194	KHSRP (-3061)
NA_peak_13195	ZNF557 (+33984), INSR (+190590)
NA_peak_13196	INSR (+92017), ZNF557 (+132557)
NA_peak_13197	INSR (+49439), ZNF557 (+175135)
NA_peak_13198	INSR (+36683), ZNF557 (+187891)
NA_peak_13199	INSR (+10138), ZNF557 (+214436)
NA_peak_13200	ARHGEF18 (-51599), ENSG00000263264 (+39127)
NA_peak_13201	XAB2 (-98), PET100 (-74)
NA_peak_13202	LRRC8E (-34905), EVI5L (+7056)
NA_peak_13203	CCL25 (+15416), FBN3 (+81430)
NA_peak_13204	FBN3 (-53512), CERS4 (-5995)
NA_peak_13205	RAB11B (-1802)
NA_peak_13206	HNRNPM (+13682), PRAM1 (+44472)
NA_peak_13207	HNRNPM (+15261), PRAM1 (+42893)
NA_peak_13208	ZNF846 (-15631), FBXL12 (+34807)
NA_peak_13209	ZNF846 (-16793), FBXL12 (+33645)
NA_peak_13210	ENSG00000167807 (-84), FDX1L (-78)
NA_peak_13211	QTRT1 (-36630), ILF3 (+10560)
NA_peak_13212	YIPF2 (-18351), SMARCA4 (-13997)
NA_peak_13213	SMARCA4 (-615)
NA_peak_13214	LDLR (-548)
NA_peak_13215	LDLR (+3030), SPC24 (+63416)
NA_peak_13216	SPC24 (+17827), LDLR (+48619)
NA_peak_13217	SPC24 (-28901), KANK2 (+12858)
NA_peak_13218	ENSG00000105520 (-163)
NA_peak_13219	LYL1 (+41584), NFIX (+65675)
NA_peak_13220	LYL1 (+19926), NFIX (+87333)
NA_peak_13221	STX10 (-4954), IER2 (+3217)
NA_peak_13222	CCDC130 (-142461), CACNA1A (-83075)
NA_peak_13223	CACNA1A (-126858), CCDC130 (-98678)
NA_peak_13224	CACNA1A (-127158), CCDC130 (-98378)
NA_peak_13225	RLN3 (-12625), RFX1 (-9238)
NA_peak_13226	RFX1 (-14974), RLN3 (-6889)
NA_peak_13227	CD97 (-116006), LPHN1 (-59251)
NA_peak_13228	OR1I1 (-13500), CASP14 (+24096)
NA_peak_13229	BRD4 (-25327), AKAP8 (+74014)
NA_peak_13230	FAM32A (-1371)
NA_peak_13231	CHERP (+130)
NA_peak_13232	NR2F6 (+1451), USE1 (+29130)
NA_peak_13233	GDF15 (-37313), PGPEP1 (+4270)
NA_peak_13234	GDF15 (-1933)
NA_peak_13235	SSBP4 (-16146), LRRC25 (-5666)
NA_peak_13236	ISYNA1 (-12867), ELL (+70959)
NA_peak_13237	ISYNA1 (-15663), ELL (+68163)
NA_peak_13238	COMP (+23306), CRTC1 (+84329)
NA_peak_13239	UPF1 (+2541), GDF1 (+61617)
NA_peak_13240	TMEM161A (-151)
NA_peak_13241	MEF2BNB-MEF2B (-990), MEF2B (-963), MEF2BNB (-532), RFXANK (+891)
NA_peak_13242	HAPLN4 (+23917), NCAN (+26850)
NA_peak_13243	NDUFA13 (-26161), GATAD2A (+103744)
NA_peak_13244	ZNF714 (-54762), ZNF430 (+6818)
NA_peak_13245	ZNF724P (-4401)
NA_peak_13246	ZNF91 (-281003), ZNF675 (+10639)
NA_peak_13247	ZNF254 (+7997)
NA_peak_13248	ZNF254 (+8734)
NA_peak_13249	NONE
NA_peak_13250	NONE
NA_peak_13251	NONE
NA_peak_13252	NONE
NA_peak_13253	NONE
NA_peak_13254	NONE
NA_peak_13255	NONE
NA_peak_13256	NONE
NA_peak_13257	UQCRFS1 (+946236)
NA_peak_13258	UQCRFS1 (+893868)
NA_peak_13259	UQCRFS1 (+859939)
NA_peak_13260	UQCRFS1 (+663624)
NA_peak_13261	UQCRFS1 (+568785)
NA_peak_13262	UQCRFS1 (+355815)
NA_peak_13263	UQCRFS1 (+267600)
NA_peak_13264	UQCRFS1 (+134257)
NA_peak_13265	POP4 (-67153), VSTM2B (+10365)
NA_peak_13266	C19orf12 (+3131), PLEKHF1 (+46869)
NA_peak_13267	ZNF536 (-368610), URI1 (+61551)
NA_peak_13268	ZNF536 (-66129), URI1 (+364032)
NA_peak_13269	ZNF536 (-62871), URI1 (+367290)
NA_peak_13270	ZNF536 (-20722), URI1 (+409439)
NA_peak_13271	ZNF536 (-20356), URI1 (+409805)
NA_peak_13272	ZNF536 (+74652), TSHZ3 (+902482)
NA_peak_13273	ZNF536 (+277857), TSHZ3 (+699277)
NA_peak_13274	TSHZ3 (+440407), ZNF536 (+536727)
NA_peak_13275	TSHZ3 (+49486), ZNF536 (+927648)
NA_peak_13276	TSHZ3 (+10608), ZNF536 (+966526)
NA_peak_13277	ZNF507 (-804397), TSHZ3 (-191650)
NA_peak_13278	ZNF507 (-627987), TSHZ3 (-368060)
NA_peak_13279	TSHZ3 (-594631), ZNF507 (-401416)
NA_peak_13280	TSHZ3 (-610126), ZNF507 (-385921)
NA_peak_13281	TSHZ3 (-719361), ZNF507 (-276686)
NA_peak_13282	TSHZ3 (-734318), ZNF507 (-261729)
NA_peak_13283	DPY19L3 (-59508), ZNF507 (+1023)
NA_peak_13284	DPY19L3 (-21572), ZNF507 (+38959)
NA_peak_13285	SLC7A9 (+34489), TDRD12 (+115204)
NA_peak_13286	RHPN2 (+36779), C19orf40 (+55859)
NA_peak_13287	CHST8 (-104061), PEPD (-58673)
NA_peak_13288	CHST8 (+199)
NA_peak_13289	KCTD15 (-10044), CHST8 (+103813)
NA_peak_13290	LSM14A (-89370), KCTD15 (+284810)
NA_peak_13291	GPI (-110456), LSM14A (+81718)
NA_peak_13292	GPI (-109207), LSM14A (+82967)
NA_peak_13293	GPI (-107117), LSM14A (+85057)
NA_peak_13294	ZNF181 (-222)
NA_peak_13295	FAM187B (+22887), FXYD5 (+51069)
NA_peak_13296	ATP4A (-28620), HAUS5 (-20492)
NA_peak_13297	ZBTB32 (-235)
NA_peak_13298	ZNF793 (-17243), ZNF570 (+37082)
NA_peak_13299	ZNF793 (-16154), ZNF570 (+38171)
NA_peak_13300	ZNF781 (-12786), ENSG00000267552 (+14017)
NA_peak_13301	SIPA1L3 (+572)
NA_peak_13302	SIPA1L3 (+21827), DPF1 (+295195)
NA_peak_13303	SIPA1L3 (+156290), DPF1 (+160732)
NA_peak_13304	SPRED3 (-1803), GGN (-371)
NA_peak_13305	ACTN4 (+5617), CAPN12 (+91187)
NA_peak_13306	ACTN4 (+11077), CAPN12 (+85727)
NA_peak_13307	ACTN4 (+35752), CAPN12 (+61052)
NA_peak_13308	CAPN12 (-17228), LGALS7 (+11790)
NA_peak_13309	LGALS4 (-6240), ECH1 (+12401)
NA_peak_13310	HNRNPL (-15766), RINL (+12180)
NA_peak_13311	FBXO17 (-1743)
NA_peak_13312	FBXO17 (-40419), FBXO27 (+16267)
NA_peak_13313	SYCN (-5317), IFNL3 (+35423)
NA_peak_13314	LGALS14 (-32353), LGALS16 (+16234)
NA_peak_13315	ZNF780A (+579)
NA_peak_13316	RAB4B (+333)
NA_peak_13317	EGLN2 (+23882), CYP2A6 (+27020)
NA_peak_13318	CYP2B6 (-68912), CYP2A7 (-39635)
NA_peak_13319	CYP2B6 (-62656), CYP2A7 (-45891)
NA_peak_13320	CYP2A13 (-77030), CYP2B6 (+20143)
NA_peak_13321	CYP2A13 (-58526), CYP2B6 (+38647)
NA_peak_13322	CYP2A13 (-51400), CYP2B6 (+45773)
NA_peak_13323	EXOSC5 (-68), BCKDHA (+87)
NA_peak_13324	CEACAM3 (-21858), CEACAM6 (+19182)
NA_peak_13325	RABAC1 (+30702), ARHGEF1 (+44325)
NA_peak_13326	RABAC1 (+29953), ARHGEF1 (+45074)
NA_peak_13327	RABAC1 (+26065), ARHGEF1 (+48962)
NA_peak_13328	ZNF574 (+6439), POU2F2 (+55622)
NA_peak_13329	POU2F2 (-20067), DEDD2 (+67629)
NA_peak_13330	GSK3A (-1910)
NA_peak_13331	CIC (-2599)
NA_peak_13332	CNFN (-19515), LIPE (+17624)
NA_peak_13333	CXCL17 (-45087), CEACAM1 (+40374)
NA_peak_13334	CEACAM1 (-42533), CEACAM8 (+23888)
NA_peak_13335	CEACAM8 (-104850), PSG3 (+40789)
NA_peak_13336	CEACAM8 (-119251), PSG3 (+26388)
NA_peak_13337	PSG8 (-28635), PSG1 (+85405)
NA_peak_13338	PSG6 (-56232), PSG11 (+52407)
NA_peak_13339	PSG2 (-83596), PSG5 (+20272)
NA_peak_13340	PSG4 (-46051), PSG9 (+17703)
NA_peak_13341	TEX101 (+1675), LYPD3 (+62489)
NA_peak_13342	ETHE1 (+664)
NA_peak_13343	ZNF428 (-307)
NA_peak_13344	ZNF155 (-172)
NA_peak_13345	ZNF180 (-60609), IGSF23 (-51757)
NA_peak_13346	PVR (-3952)
NA_peak_13347	PVR (-1008)
NA_peak_13348	CEACAM16 (-2055)
NA_peak_13349	BCL3 (-13486), CEACAM16 (+35897)
NA_peak_13350	BCAM (-12274), CBLC (+18960)
NA_peak_13351	APOC1 (-5)
NA_peak_13352	APOC4 (-11930), APOC1 (+16061)
NA_peak_13353	ERCC2 (-275)
NA_peak_13354	PPP1R13L (-6300), ERCC1 (+10917)
NA_peak_13355	ERCC1 (-26688), FOSB (-17741)
NA_peak_13356	FOSB (+10564), RTN2 (+18502)
NA_peak_13357	VASP (+20957), OPA3 (+56469)
NA_peak_13358	QPCTL (-96), SNRPD2 (-54)
NA_peak_13359	IGFL2 (-14179), IGFL3 (-8929)
NA_peak_13360	IGFL1 (-73093), IGFL2 (+8877)
NA_peak_13361	IGFL1 (-50958), IGFL2 (+31012)
NA_peak_13362	HIF3A (-53775), IGFL1 (+13519)
NA_peak_13363	HIF3A (-28489), IGFL1 (+38805)
NA_peak_13364	HIF3A (-26409), IGFL1 (+40885)
NA_peak_13365	PPP5C (+31002), CCDC8 (+35588)
NA_peak_13366	CCDC8 (-116241), PPP5D1 (+71375)
NA_peak_13367	CCDC8 (-160501), PPP5D1 (+27115)
NA_peak_13368	STRN4 (-22299), SLC1A5 (+19414)
NA_peak_13369	ARHGAP35 (-2185)
NA_peak_13370	NPAS1 (-64876), ARHGAP35 (+36268)
NA_peak_13371	ZC3H4 (-11241), SAE1 (-5870)
NA_peak_13372	C5AR1 (-25348), PRR24 (+9641)
NA_peak_13373	ZNF541 (-4348)
NA_peak_13374	EHD2 (-63793), GLTSCR1 (+41354)
NA_peak_13375	TPRX1 (+6713), SEPW1 (+18404)
NA_peak_13376	PLA2G4C (-13286), LIG1 (+46500)
NA_peak_13377	ZNF114 (-23520), CARD8 (-5519)
NA_peak_13378	CARD8 (-14919), ZNF114 (-14120)
NA_peak_13379	GRWD1 (-38157), GRIN2D (+12741)
NA_peak_13380	SPACA4 (-35045), SULT2B1 (+19623)
NA_peak_13381	HSD17B14 (-18403), PLEKHA4 (+13551)
NA_peak_13382	SNRNP70 (-405)
NA_peak_13383	HRC (+4920), PPFIA3 (+31115)
NA_peak_13384	TRPM4 (+12867), SLC6A16 (+154617)
NA_peak_13385	TRPM4 (+68515), SLC6A16 (+98969)
NA_peak_13386	SLC6A16 (+9579), TRPM4 (+157905)
NA_peak_13387	SLC6A16 (+4021), TRPM4 (+163463)
NA_peak_13388	RPS11 (+23)
NA_peak_13389	IRF3 (-135), BCL2L12 (+371)
NA_peak_13390	SPIB (-3958), SPIB (-3955)
NA_peak_13391	KLK15 (-4757)
NA_peak_13392	KLK9 (-8004), KLK10 (+2441)
NA_peak_13393	VSIG10L (+10379), IGLON5 (+19897)
NA_peak_13394	ETFB (-5786), CLDND2 (+6111)
NA_peak_13395	ENSG00000167765 (-25506), SIGLEC5 (+10449)
NA_peak_13396	ZNF836 (-298)
NA_peak_13397	PPP2R1A (-2470)
NA_peak_13398	ZNF766 (-34973), PPP2R1A (+44559)
NA_peak_13399	ZNF331 (+11869), ENSG00000268864 (+70604)
NA_peak_13400	NLRP12 (+79343), DPRX (+112944)
NA_peak_13401	NLRP12 (+51181), DPRX (+141106)
NA_peak_13402	NLRP12 (+48659), DPRX (+143628)
NA_peak_13403	MYADM (+293)
NA_peak_13404	PTPRH (-7021), TMEM86B (+12787)
NA_peak_13405	UBE2S (-10531), SHISA7 (+24554)
NA_peak_13406	ENSG00000231274 (-7910), ZNF579 (+27368)
NA_peak_13407	NLRP9 (+19696), EPN1 (+42081)
NA_peak_13408	NLRP13 (-9052), NLRP8 (-6469)
NA_peak_13409	ZNF583 (+15783), ZNF667 (+57215)
NA_peak_13410	ZNF835 (-92745), PEG3 (+76191)
NA_peak_13411	ZIM2 (-180101), USP29 (-99213)
NA_peak_13412	AURKC (-12372), ZNF264 (+27191)
NA_peak_13413	MZF1 (-185)
NA_peak_13414	FAM110C (-63207), SH3YL1 (+154473)
NA_peak_13415	FAM150B (-90283), TMEM18 (+298860)
NA_peak_13416	FAM150B (-113140), TMEM18 (+276003)
NA_peak_13417	FAM150B (-362524), TMEM18 (+26619)
NA_peak_13418	SNTG2 (-243831), TMEM18 (-25284)
NA_peak_13419	TPO (-317144), SNTG2 (+153535)
NA_peak_13420	TPO (-285322), SNTG2 (+185357)
NA_peak_13421	TPO (-24111), SNTG2 (+446568)
NA_peak_13422	PXDN (-177152), MYT1L (+409458)
NA_peak_13423	PXDN (-484314), MYT1L (+102296)
NA_peak_13424	MYT1L (-971741), TRAPPC12 (-76828)
NA_peak_13425	ADI1 (+31242), TRAPPC12 (+108808)
NA_peak_13426	DCDC2C (+39494)
NA_peak_13427	DCDC2C (+381599)
NA_peak_13428	DCDC2C (+387195)
NA_peak_13429	DCDC2C (+525025)
NA_peak_13430	DCDC2C (+566678)
NA_peak_13431	DCDC2C (+567261)
NA_peak_13432	DCDC2C (+596785)
NA_peak_13433	DCDC2C (+633121)
NA_peak_13434	DCDC2C (+906181)
NA_peak_13435	NONE
NA_peak_13436	SOX11 (-910835)
NA_peak_13437	SOX11 (-879365)
NA_peak_13438	SOX11 (-580169)
NA_peak_13439	SOX11 (-570918)
NA_peak_13440	SOX11 (-452958)
NA_peak_13441	SOX11 (-429856)
NA_peak_13442	SOX11 (-372687)
NA_peak_13443	SOX11 (-280049)
NA_peak_13444	SOX11 (-196505)
NA_peak_13445	SOX11 (-139227)
NA_peak_13446	SOX11 (-2452)
NA_peak_13447	SOX11 (+30591)
NA_peak_13448	SOX11 (+31728)
NA_peak_13449	SOX11 (+35071)
NA_peak_13450	SOX11 (+74207)
NA_peak_13451	SOX11 (+200377), CMPK2 (+972651)
NA_peak_13452	SOX11 (+251215), CMPK2 (+921813)
NA_peak_13453	SOX11 (+410732), CMPK2 (+762296)
NA_peak_13454	SOX11 (+440074), CMPK2 (+732954)
NA_peak_13455	SOX11 (+461815), CMPK2 (+711213)
NA_peak_13456	SOX11 (+522300), CMPK2 (+650728)
NA_peak_13457	SOX11 (+523136), CMPK2 (+649892)
NA_peak_13458	CMPK2 (+446637), SOX11 (+726391)
NA_peak_13459	CMPK2 (+348189), SOX11 (+824839)
NA_peak_13460	CMPK2 (+339677), SOX11 (+833351)
NA_peak_13461	CMPK2 (+338420), SOX11 (+834608)
NA_peak_13462	CMPK2 (+329892), SOX11 (+843136)
NA_peak_13463	CMPK2 (+329294), SOX11 (+843734)
NA_peak_13464	CMPK2 (+303668), SOX11 (+869360)
NA_peak_13465	CMPK2 (+280371), SOX11 (+892657)
NA_peak_13466	CMPK2 (+134874)
NA_peak_13467	RNF144A (+14586)
NA_peak_13468	RNF144A (+240908)
NA_peak_13469	RNF144A (+328788)
NA_peak_13470	RNF144A (+332602)
NA_peak_13471	RNF144A (+362188)
NA_peak_13472	RNF144A (+416523)
NA_peak_13473	RNF144A (+468074)
NA_peak_13474	RNF144A (+501120)
NA_peak_13475	RNF144A (+575537)
NA_peak_13476	ID2 (-993362), RNF144A (+768090)
NA_peak_13477	ID2 (-972713), RNF144A (+788739)
NA_peak_13478	ID2 (-830749), RNF144A (+930703)
NA_peak_13479	ID2 (-818198), RNF144A (+943254)
NA_peak_13480	ID2 (-798769), RNF144A (+962683)
NA_peak_13481	ID2 (-776372), RNF144A (+985080)
NA_peak_13482	ID2 (-575570)
NA_peak_13483	ID2 (-485030)
NA_peak_13484	ID2 (-484609)
NA_peak_13485	ID2 (-447292)
NA_peak_13486	ID2 (-330186)
NA_peak_13487	ID2 (-229051)
NA_peak_13488	ID2 (-152768)
NA_peak_13489	ID2 (+1694), KIDINS220 (+157086)
NA_peak_13490	KIDINS220 (+54737), ID2 (+104043)
NA_peak_13491	KIDINS220 (+53513), ID2 (+105267)
NA_peak_13492	KIDINS220 (-96943), MBOAT2 (+69244)
NA_peak_13493	KIDINS220 (-152533), MBOAT2 (+13654)
NA_peak_13494	KIDINS220 (-156635), MBOAT2 (+9552)
NA_peak_13495	ASAP2 (-195039), MBOAT2 (-7913)
NA_peak_13496	ASAP2 (-184246), MBOAT2 (-18706)
NA_peak_13497	ASAP2 (-173972), MBOAT2 (-28980)
NA_peak_13498	MBOAT2 (-174531), ASAP2 (-28421)
NA_peak_13499	ASAP2 (-1642)
NA_peak_13500	ASAP2 (+88329), ITGB1BP1 (+128135)
NA_peak_13501	ITGB1BP1 (+63555), ASAP2 (+152909)
NA_peak_13502	ADAM17 (-54335), YWHAQ (+20493)
NA_peak_13503	ADAM17 (-56635), YWHAQ (+18193)
NA_peak_13504	TAF1B (-195231), YWHAQ (-17507)
NA_peak_13505	GRHL1 (-38925), TAF1B (+69419)
NA_peak_13506	KLF11 (-89269), GRHL1 (+2586)
NA_peak_13507	RRM2 (-1315)
NA_peak_13508	HPCAL1 (-166647), RRM2 (+14724)
NA_peak_13509	HPCAL1 (-74783), RRM2 (+106588)
NA_peak_13510	HPCAL1 (+52338), ODC1 (+92466)
NA_peak_13511	ODC1 (+1198), HPCAL1 (+143606)
NA_peak_13512	ODC1 (-32954), NOL10 (+208509)
NA_peak_13513	PQLC3 (+73265), ROCK2 (+115948)
NA_peak_13514	PQLC3 (+74791), ROCK2 (+114422)
NA_peak_13515	PQLC3 (+79205), ROCK2 (+110008)
NA_peak_13516	ROCK2 (+64511), PQLC3 (+124702)
NA_peak_13517	ROCK2 (-36681), E2F6 (+84883)
NA_peak_13518	ROCK2 (-41249), E2F6 (+80315)
NA_peak_13519	GREB1 (-34581), E2F6 (-33386)
NA_peak_13520	GREB1 (+21427), NTSR2 (+114621)
NA_peak_13521	TRIB2 (-886171), LPIN1 (+153123)
NA_peak_13522	TRIB2 (-713173), LPIN1 (+326121)
NA_peak_13523	TRIB2 (-619845), LPIN1 (+419449)
NA_peak_13524	TRIB2 (-609272), LPIN1 (+430022)
NA_peak_13525	TRIB2 (-428807), LPIN1 (+610487)
NA_peak_13526	TRIB2 (-412421), LPIN1 (+626873)
NA_peak_13527	TRIB2 (-237998), LPIN1 (+801296)
NA_peak_13528	TRIB2 (-185207), LPIN1 (+854087)
NA_peak_13529	TRIB2 (-40710), LPIN1 (+998584)
NA_peak_13530	TRIB2 (+40853)
NA_peak_13531	TRIB2 (+200409)
NA_peak_13532	TRIB2 (+201643)
NA_peak_13533	TRIB2 (+207313)
NA_peak_13534	TRIB2 (+250728)
NA_peak_13535	TRIB2 (+389697)
NA_peak_13536	TRIB2 (+398999)
NA_peak_13537	TRIB2 (+937118)
NA_peak_13538	TRIB2 (+945444)
NA_peak_13539	TRIB2 (+977517)
NA_peak_13540	NONE
NA_peak_13541	NONE
NA_peak_13542	NONE
NA_peak_13543	NONE
NA_peak_13544	NONE
NA_peak_13545	NONE
NA_peak_13546	NONE
NA_peak_13547	NONE
NA_peak_13548	NONE
NA_peak_13549	NONE
NA_peak_13550	NONE
NA_peak_13551	NBAS (+784608)
NA_peak_13552	NBAS (+760315)
NA_peak_13553	NBAS (+668728)
NA_peak_13554	NBAS (+632723)
NA_peak_13555	NBAS (+628060)
NA_peak_13556	NBAS (+627343)
NA_peak_13557	NBAS (+614500)
NA_peak_13558	NBAS (+281475)
NA_peak_13559	NBAS (+216451)
NA_peak_13560	NBAS (+216023)
NA_peak_13561	NBAS (+53443)
NA_peak_13562	MYCN (-199238), DDX1 (+150146)
NA_peak_13563	MYCN (-196826), DDX1 (+152558)
NA_peak_13564	MYCN (-84533), DDX1 (+264851)
NA_peak_13565	MYCN (+166542), FAM49A (+599874)
NA_peak_13566	FAM49A (+282871), MYCN (+483545)
NA_peak_13567	FAM49A (+239579), MYCN (+526837)
NA_peak_13568	VSNL1 (-863340), FAM49A (-11985)
NA_peak_13569	VSNL1 (-831324), FAM49A (-44001)
NA_peak_13570	VSNL1 (-723155), FAM49A (-152170)
NA_peak_13571	VSNL1 (-608146), FAM49A (-267179)
NA_peak_13572	VSNL1 (-591931), FAM49A (-283394)
NA_peak_13573	VSNL1 (-588168), FAM49A (-287157)
NA_peak_13574	VSNL1 (-483277), FAM49A (-392048)
NA_peak_13575	FAM49A (-483790), VSNL1 (-391535)
NA_peak_13576	FAM49A (-639361), VSNL1 (-235964)
NA_peak_13577	FAM49A (-753495), VSNL1 (-121830)
NA_peak_13578	FAM49A (-783552), VSNL1 (-91773)
NA_peak_13579	FAM49A (-862415), VSNL1 (-12910)
NA_peak_13580	KCNS3 (+1329), RDH14 (+681503)
NA_peak_13581	KCNS3 (+24978), RDH14 (+657854)
NA_peak_13582	KCNS3 (+39035), RDH14 (+643797)
NA_peak_13583	KCNS3 (+45942), RDH14 (+636890)
NA_peak_13584	KCNS3 (+93803), RDH14 (+589029)
NA_peak_13585	KCNS3 (+94272), RDH14 (+588560)
NA_peak_13586	KCNS3 (+128251), RDH14 (+554581)
NA_peak_13587	KCNS3 (+173630), RDH14 (+509202)
NA_peak_13588	KCNS3 (+216418), RDH14 (+466414)
NA_peak_13589	KCNS3 (+321078), RDH14 (+361754)
NA_peak_13590	KCNS3 (+331961), RDH14 (+350871)
NA_peak_13591	KCNS3 (+332449), RDH14 (+350383)
NA_peak_13592	KCNS3 (+336680), RDH14 (+346152)
NA_peak_13593	RDH14 (+325548), KCNS3 (+357284)
NA_peak_13594	RDH14 (+323136), KCNS3 (+359696)
NA_peak_13595	RDH14 (+168995), KCNS3 (+513837)
NA_peak_13596	RDH14 (+129128), KCNS3 (+553704)
NA_peak_13597	RDH14 (+107832), KCNS3 (+575000)
NA_peak_13598	RDH14 (+87334), KCNS3 (+595498)
NA_peak_13599	RDH14 (+62753), KCNS3 (+620079)
NA_peak_13600	RDH14 (+33076), KCNS3 (+649756)
NA_peak_13601	NT5C1B-RDH14 (-119723), OSR1 (+666126)
NA_peak_13602	NT5C1B-RDH14 (-210982), OSR1 (+574867)
NA_peak_13603	NT5C1B-RDH14 (-224255), OSR1 (+561594)
NA_peak_13604	NT5C1B-RDH14 (-228791), OSR1 (+557058)
NA_peak_13605	NT5C1B-RDH14 (-264221), OSR1 (+521628)
NA_peak_13606	NT5C1B-RDH14 (-305714), OSR1 (+480135)
NA_peak_13607	NT5C1B-RDH14 (-459050), OSR1 (+326799)
NA_peak_13608	NT5C1B-RDH14 (-473613), OSR1 (+312236)
NA_peak_13609	NT5C1B-RDH14 (-557751), OSR1 (+228098)
NA_peak_13610	NT5C1B-RDH14 (-780195), OSR1 (+5654)
NA_peak_13611	OSR1 (-6834), TTC32 (+538236)
NA_peak_13612	OSR1 (-184531), TTC32 (+360539)
NA_peak_13613	OSR1 (-216755), TTC32 (+328315)
NA_peak_13614	TTC32 (-42109), WDR35 (+46036)
NA_peak_13615	WDR35 (-3349)
NA_peak_13616	MATN3 (-16812), LAPTM4A (+22522)
NA_peak_13617	LAPTM4A (-538)
NA_peak_13618	SDC1 (-89322), PUM2 (+12628)
NA_peak_13619	RHOB (+70034), HS1BP3 (+133980)
NA_peak_13620	HS1BP3 (+15731), RHOB (+188283)
NA_peak_13621	GDF7 (+43914), APOB (+356607)
NA_peak_13622	GDF7 (+79641), APOB (+320880)
NA_peak_13623	APOB (+866)
NA_peak_13624	APOB (-48634), TDRD15 (-31210)
NA_peak_13625	APOB (-66728), TDRD15 (-13116)
NA_peak_13626	TDRD15 (+3438)
NA_peak_13627	TDRD15 (+32052)
NA_peak_13628	TDRD15 (+94645)
NA_peak_13629	TDRD15 (+97829)
NA_peak_13630	TDRD15 (+185884)
NA_peak_13631	TDRD15 (+207299)
NA_peak_13632	TDRD15 (+244897)
NA_peak_13633	TDRD15 (+253615)
NA_peak_13634	TDRD15 (+268229)
NA_peak_13635	TDRD15 (+355350)
NA_peak_13636	TDRD15 (+921050)
NA_peak_13637	NONE
NA_peak_13638	NONE
NA_peak_13639	NONE
NA_peak_13640	NONE
NA_peak_13641	NONE
NA_peak_13642	NONE
NA_peak_13643	NONE
NA_peak_13644	NONE
NA_peak_13645	NONE
NA_peak_13646	NONE
NA_peak_13647	NONE
NA_peak_13648	NONE
NA_peak_13649	ATAD2B (+898767)
NA_peak_13650	ATAD2B (+773526)
NA_peak_13651	ATAD2B (+713608)
NA_peak_13652	ATAD2B (+680244)
NA_peak_13653	ATAD2B (+670578)
NA_peak_13654	ATAD2B (+624091)
NA_peak_13655	ATAD2B (+612215)
NA_peak_13656	ATAD2B (+452283)
NA_peak_13657	ATAD2B (+415148)
NA_peak_13658	ATAD2B (+363309)
NA_peak_13659	ATAD2B (+338495)
NA_peak_13660	ATAD2B (+337850)
NA_peak_13661	ATAD2B (+114862)
NA_peak_13662	ATAD2B (+82718)
NA_peak_13663	ATAD2B (+2285)
NA_peak_13664	MFSD2B (-57156), UBXN2A (+12506)
NA_peak_13665	MFSD2B (-6328), UBXN2A (+63334)
NA_peak_13666	PFN4 (-31713), ITSN2 (+205523)
NA_peak_13667	PFN4 (-34881), ITSN2 (+202355)
NA_peak_13668	NCOA1 (-101506), ITSN2 (-29712)
NA_peak_13669	CENPO (-281425), NCOA1 (+19788)
NA_peak_13670	CENPO (-281039), NCOA1 (+20174)
